epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,5.010593e-05,0.8697,0.7323,0.1331,0.9643,30.5
2,1.000000e-04,0.1052,0.9702,0.0657,0.9812,9.7
3,9.968561e-05,0.0590,0.9824,0.0528,0.9846,9.7
4,9.874640e-05,0.0339,0.9899,0.0980,0.9651,9.9
5,9.719417e-05,0.0263,0.9920,0.0550,0.9824,9.7
6,9.504844e-05,0.0206,0.9943,0.0445,0.9880,9.7
7,9.233621e-05,0.0206,0.9936,0.0506,0.9865,9.7
8,8.909157e-05,0.0134,0.9959,0.0445,0.9876,9.7
9,8.535534e-05,0.0155,0.9952,0.0481,0.9869,9.8
10,8.117449e-05,0.0151,0.9960,0.0273,0.9921,9.7
11,7.660160e-05,0.0105,0.9968,0.0314,0.9910,9.8
12,7.169419e-05,0.0064,0.9985,0.0339,0.9925,9.8
13,6.651395e-05,0.0064,0.9985,0.0357,0.9899,9.8
14,6.112605e-05,0.0069,0.9983,0.0368,0.9876,9.7
15,5.559822e-05,0.0045,0.9988,0.0330,0.9917,9.8
16,5.000000e-05,0.0040,0.9989,0.0320,0.9925,9.9
17,4.440178e-05,0.0024,0.9993,0.0365,0.9899,9.9
18,3.887395e-05,0.0023,0.9992,0.0337,0.9910,10.1
19,3.348605e-05,0.0026,0.9992,0.0334,0.9921,10.1
20,2.830581e-05,0.0016,0.9999,0.0304,0.9932,9.9
21,2.339840e-05,0.0007,0.9999,0.0316,0.9929,9.8
22,1.882551e-05,0.0009,0.9997,0.0338,0.9917,9.7
23,1.464466e-05,0.0004,1.0000,0.0295,0.9932,9.7
24,1.090843e-05,0.0004,1.0000,0.0299,0.9936,9.7
25,7.663790e-06,0.0004,1.0000,0.0278,0.9936,10.1
26,4.951557e-06,0.0003,1.0000,0.0288,0.9936,9.9
27,2.805833e-06,0.0002,1.0000,0.0284,0.9936,9.9
28,1.253604e-06,0.0003,1.0000,0.0285,0.9932,9.5
29,3.143895e-07,0.0003,1.0000,0.0290,0.9936,9.9
30,0.000000e+00,0.0002,1.0000,0.0275,0.9944,10.0
