epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,5.010593e-05,0.8954,0.7222,0.1454,0.9621,30.8
2,1.000000e-04,0.1183,0.9671,0.0720,0.9775,9.8
3,9.968561e-05,0.0723,0.9781,0.0564,0.9839,9.6
4,9.874640e-05,0.0480,0.9854,0.0555,0.9824,9.5
5,9.719417e-05,0.0352,0.9897,0.0357,0.9880,9.5
6,9.504844e-05,0.0293,0.9903,0.0663,0.9793,9.6
7,9.233621e-05,0.0238,0.9922,0.0308,0.9902,9.6
8,8.909157e-05,0.0189,0.9940,0.0915,0.9711,9.5
9,8.535534e-05,0.0232,0.9930,0.0268,0.9940,9.5
10,8.117449e-05,0.0144,0.9958,0.0301,0.9895,9.5
11,7.660160e-05,0.0169,0.9946,0.0431,0.9861,9.5
12,7.169419e-05,0.0117,0.9965,0.0288,0.9899,9.6
13,6.651395e-05,0.0114,0.9967,0.0265,0.9929,9.6
14,6.112605e-05,0.0090,0.9973,0.0231,0.9944,9.6
15,5.559822e-05,0.0054,0.9988,0.0209,0.9955,9.5
16,5.000000e-05,0.0073,0.9977,0.0225,0.9944,9.8
17,4.440178e-05,0.0047,0.9991,0.0439,0.9887,9.6
18,3.887395e-05,0.0047,0.9985,0.0283,0.9936,9.7
19,3.348605e-05,0.0030,0.9993,0.0256,0.9955,9.7
20,2.830581e-05,0.0027,0.9993,0.0250,0.9947,9.6
21,2.339840e-05,0.0010,1.0000,0.0244,0.9944,9.7
22,1.882551e-05,0.0009,0.9999,0.0241,0.9940,9.7
23,1.464466e-05,0.0007,0.9999,0.0220,0.9951,9.7
24,1.090843e-05,0.0006,1.0000,0.0240,0.9944,9.7
25,7.663790e-06,0.0006,0.9999,0.0226,0.9947,9.7
26,4.951557e-06,0.0008,0.9999,0.0225,0.9951,9.9
27,2.805833e-06,0.0004,1.0000,0.0201,0.9962,9.8
28,1.253604e-06,0.0004,1.0000,0.0205,0.9959,9.8
29,3.143895e-07,0.0005,0.9999,0.0207,0.9962,9.8
30,0.000000e+00,0.0005,0.9999,0.0195,0.9962,10.0
