epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,5.010593e-05,0.8688,0.7342,0.1279,0.9628,31.2
2,1.000000e-04,0.0971,0.9734,0.0706,0.9745,9.7
3,9.968561e-05,0.0434,0.9881,0.0536,0.9835,9.7
4,9.874640e-05,0.0212,0.9952,0.1167,0.9673,9.7
5,9.719417e-05,0.0140,0.9969,0.0359,0.9891,9.5
6,9.504844e-05,0.0142,0.9966,0.0704,0.9763,9.4
7,9.233621e-05,0.0199,0.9940,0.0688,0.9805,9.4
8,8.909157e-05,0.0106,0.9972,0.0372,0.9876,9.5
9,8.535534e-05,0.0039,0.9994,0.0385,0.9884,9.4
10,8.117449e-05,0.0139,0.9961,0.0765,0.9771,9.5
11,7.660160e-05,0.0099,0.9972,0.0572,0.9857,9.3
12,7.169419e-05,0.0047,0.9989,0.0356,0.9917,9.5
13,6.651395e-05,0.0044,0.9991,0.0403,0.9902,9.5
14,6.112605e-05,0.0058,0.9983,0.0433,0.9876,9.5
15,5.559822e-05,0.0025,0.9995,0.0270,0.9925,10.2
16,5.000000e-05,0.0029,0.9992,0.0296,0.9940,9.9
17,4.440178e-05,0.0012,0.9999,0.0272,0.9932,9.8
18,3.887395e-05,0.0004,1.0000,0.0263,0.9929,9.7
19,3.348605e-05,0.0004,1.0000,0.0268,0.9940,9.9
20,2.830581e-05,0.0009,0.9998,0.0270,0.9936,9.8
21,2.339840e-05,0.0004,1.0000,0.0293,0.9917,9.8
22,1.882551e-05,0.0002,1.0000,0.0276,0.9944,9.9
23,1.464466e-05,0.0002,1.0000,0.0281,0.9932,9.9
24,1.090843e-05,0.0002,1.0000,0.0258,0.9940,9.7
25,7.663790e-06,0.0002,1.0000,0.0296,0.9917,9.8
26,4.951557e-06,0.0001,1.0000,0.0276,0.9940,9.9
27,2.805833e-06,0.0001,1.0000,0.0271,0.9940,9.8
28,1.253604e-06,0.0002,1.0000,0.0281,0.9944,9.7
29,3.143895e-07,0.0001,1.0000,0.0279,0.9936,9.8
30,0.000000e+00,0.0001,1.0000,0.0275,0.9932,9.8
