epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,5.010593e-05,0.9531,0.7023,0.1551,0.9538,53.2
2,1.000000e-04,0.1579,0.9523,0.0779,0.9745,32.5
3,9.968561e-05,0.1060,0.9678,0.0491,0.9861,31.6
4,9.874640e-05,0.0665,0.9797,0.0519,0.9842,32.4
5,9.719417e-05,0.0490,0.9861,0.0447,0.9857,32.0
6,9.504844e-05,0.0468,0.9857,0.0445,0.9865,31.9
7,9.233621e-05,0.0385,0.9886,0.0477,0.9842,31.7
8,8.909157e-05,0.0264,0.9929,0.0316,0.9887,32.0
9,8.535534e-05,0.0329,0.9893,0.0327,0.9899,32.0
10,8.117449e-05,0.0250,0.9926,0.0284,0.9902,32.2
11,7.660160e-05,0.0194,0.9943,0.0258,0.9921,31.8
12,7.169419e-05,0.0176,0.9944,0.0375,0.9895,32.1
13,6.651395e-05,0.0114,0.9969,0.0621,0.9827,32.1
14,6.112605e-05,0.0169,0.9942,0.0361,0.9869,32.2
15,5.559822e-05,0.0094,0.9974,0.0231,0.9940,32.1
16,5.000000e-05,0.0075,0.9975,0.0229,0.9929,31.9
17,4.440178e-05,0.0083,0.9979,0.0252,0.9929,32.2
18,3.887395e-05,0.0045,0.9987,0.0224,0.9947,32.0
19,3.348605e-05,0.0045,0.9988,0.0204,0.9947,31.9
20,2.830581e-05,0.0033,0.9991,0.0200,0.9936,32.1
21,2.339840e-05,0.0019,0.9999,0.0171,0.9959,32.5
22,1.882551e-05,0.0024,0.9996,0.0191,0.9959,32.3
23,1.464466e-05,0.0015,0.9997,0.0184,0.9959,32.3
24,1.090843e-05,0.0013,0.9999,0.0174,0.9962,31.3
25,7.663790e-06,0.0010,0.9999,0.0178,0.9955,32.4
26,4.951557e-06,0.0012,0.9999,0.0171,0.9970,32.3
27,2.805833e-06,0.0011,0.9997,0.0178,0.9966,32.4
28,1.253604e-06,0.0011,0.9998,0.0180,0.9966,29.2
29,3.143895e-07,0.0010,0.9999,0.0178,0.9966,29.1
30,0.000000e+00,0.0009,0.9999,0.0179,0.9966,29.1
