epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,5.010593e-05,1.4440,0.4883,0.9865,0.6504,33.9
2,1.000000e-04,0.7895,0.7152,0.7079,0.7578,13.4
3,9.968561e-05,0.6283,0.7711,0.5182,0.8194,13.4
4,9.874640e-05,0.5160,0.8109,0.5435,0.7965,13.5
5,9.719417e-05,0.4305,0.8443,0.5252,0.8149,13.7
6,9.504844e-05,0.3683,0.8666,0.4554,0.8419,13.6
7,9.233621e-05,0.3354,0.8767,0.2555,0.9061,13.6
8,8.909157e-05,0.2898,0.8946,0.2297,0.9219,13.6
9,8.535534e-05,0.2605,0.9053,0.2535,0.9170,13.6
10,8.117449e-05,0.2286,0.9187,0.2292,0.9095,13.5
11,7.660160e-05,0.2074,0.9266,0.2278,0.9189,13.6
12,7.169419e-05,0.1833,0.9354,0.1952,0.9305,13.5
13,6.651395e-05,0.1617,0.9408,0.1527,0.9410,13.5
14,6.112605e-05,0.1446,0.9490,0.1696,0.9399,13.5
15,5.559822e-05,0.1294,0.9549,0.1293,0.9534,13.4
16,5.000000e-05,0.1229,0.9573,0.1140,0.9579,13.4
17,4.440178e-05,0.1082,0.9626,0.1422,0.9486,13.5
18,3.887395e-05,0.0994,0.9645,0.0903,0.9692,13.5
19,3.348605e-05,0.0837,0.9710,0.0855,0.9733,13.5
20,2.830581e-05,0.0776,0.9744,0.0760,0.9771,13.5
21,2.339840e-05,0.0704,0.9762,0.0747,0.9771,13.5
22,1.882551e-05,0.0610,0.9803,0.0763,0.9745,13.5
23,1.464466e-05,0.0588,0.9804,0.0659,0.9790,13.5
24,1.090843e-05,0.0496,0.9857,0.0647,0.9801,13.4
25,7.663790e-06,0.0483,0.9847,0.0584,0.9831,13.5
26,4.951557e-06,0.0413,0.9869,0.0581,0.9842,13.4
27,2.805833e-06,0.0409,0.9874,0.0599,0.9835,13.5
28,1.253604e-06,0.0401,0.9877,0.0612,0.9824,13.4
29,3.143895e-07,0.0349,0.9900,0.0587,0.9824,13.5
30,0.000000e+00,0.0344,0.9908,0.0602,0.9824,13.5
