epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,5.010593e-05,1.2854,0.6019,0.1450,0.9576,42.9
2,1.000000e-04,0.1679,0.9476,0.0812,0.9756,21.0
3,9.968561e-05,0.0988,0.9682,0.0439,0.9861,20.9
4,9.874640e-05,0.0572,0.9822,0.0554,0.9820,21.0
5,9.719417e-05,0.0433,0.9860,0.0547,0.9831,20.8
6,9.504844e-05,0.0344,0.9893,0.0377,0.9872,20.7
7,9.233621e-05,0.0313,0.9901,0.0328,0.9910,20.7
8,8.909157e-05,0.0282,0.9912,0.0390,0.9884,20.8
9,8.535534e-05,0.0254,0.9917,0.0339,0.9869,21.3
10,8.117449e-05,0.0173,0.9944,0.0237,0.9936,21.2
11,7.660160e-05,0.0158,0.9950,0.0225,0.9932,21.2
12,7.169419e-05,0.0150,0.9954,0.0286,0.9936,21.3
13,6.651395e-05,0.0119,0.9966,0.0152,0.9966,21.9
14,6.112605e-05,0.0072,0.9978,0.0247,0.9932,21.5
15,5.559822e-05,0.0125,0.9959,0.0199,0.9955,21.9
16,5.000000e-05,0.0068,0.9977,0.0173,0.9947,21.2
17,4.440178e-05,0.0056,0.9985,0.0138,0.9955,21.5
18,3.887395e-05,0.0059,0.9981,0.0144,0.9951,21.0
19,3.348605e-05,0.0034,0.9990,0.0176,0.9936,21.3
20,2.830581e-05,0.0029,0.9993,0.0110,0.9977,21.2
21,2.339840e-05,0.0023,0.9993,0.0121,0.9970,21.1
22,1.882551e-05,0.0017,0.9994,0.0078,0.9989,21.1
23,1.464466e-05,0.0028,0.9993,0.0104,0.9977,21.0
24,1.090843e-05,0.0013,0.9998,0.0091,0.9981,21.0
25,7.663790e-06,0.0009,0.9999,0.0098,0.9981,21.4
26,4.951557e-06,0.0006,1.0000,0.0092,0.9981,21.9
27,2.805833e-06,0.0014,0.9996,0.0093,0.9977,21.0
28,1.253604e-06,0.0007,0.9997,0.0091,0.9981,21.0
29,3.143895e-07,0.0008,0.9997,0.0094,0.9974,20.9
30,0.000000e+00,0.0010,0.9998,0.0084,0.9981,21.0
