epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,5.010593e-05,0.4030,0.8640,0.0702,0.9778,67.3
2,1.000000e-04,0.1407,0.9535,0.1499,0.9504,46.5
3,9.968561e-05,0.1030,0.9657,0.1648,0.9482,46.4
4,9.874640e-05,0.0878,0.9702,0.1240,0.9546,46.4
5,9.719417e-05,0.0689,0.9766,0.0654,0.9801,46.1
6,9.504844e-05,0.0612,0.9789,0.0565,0.9824,46.1
7,9.233621e-05,0.0581,0.9816,0.0685,0.9782,46.2
8,8.909157e-05,0.0546,0.9827,0.1637,0.9538,46.1
9,8.535534e-05,0.0495,0.9834,0.0622,0.9790,46.4
10,8.117449e-05,0.0506,0.9840,0.0933,0.9733,46.3
11,7.660160e-05,0.0382,0.9878,0.0458,0.9872,46.0
12,7.169419e-05,0.0333,0.9890,0.0410,0.9880,46.0
13,6.651395e-05,0.0272,0.9910,0.0559,0.9835,46.1
14,6.112605e-05,0.0234,0.9928,0.0209,0.9940,46.4
15,5.559822e-05,0.0152,0.9946,0.0586,0.9808,46.3
16,5.000000e-05,0.0170,0.9942,0.0293,0.9932,46.3
17,4.440178e-05,0.0145,0.9955,0.0189,0.9951,46.3
18,3.887395e-05,0.0113,0.9967,0.0475,0.9857,46.2
19,3.348605e-05,0.0103,0.9960,0.0305,0.9925,46.3
20,2.830581e-05,0.0038,0.9988,0.0205,0.9959,46.5
21,2.339840e-05,0.0029,0.9991,0.0337,0.9917,46.0
22,1.882551e-05,0.0020,0.9994,0.0264,0.9944,45.9
23,1.464466e-05,0.0028,0.9993,0.0252,0.9955,45.9
24,1.090843e-05,0.0006,0.9999,0.0333,0.9932,45.9
25,7.663790e-06,0.0004,0.9999,0.0257,0.9959,45.9
26,4.951557e-06,0.0007,0.9997,0.0263,0.9951,45.9
27,2.805833e-06,0.0005,0.9999,0.0233,0.9962,45.9
28,1.253604e-06,0.0002,0.9999,0.0231,0.9966,45.9
29,3.143895e-07,0.0003,0.9998,0.0227,0.9970,45.9
30,0.000000e+00,0.0001,0.9999,0.0228,0.9970,45.8
