epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,5.010593e-05,1.8260,0.3490,1.3647,0.5250,66.0
2,1.000000e-04,1.1335,0.5965,0.9475,0.6819,46.1
3,9.968561e-05,0.7153,0.7415,0.5979,0.7841,46.1
4,9.874640e-05,0.5399,0.8065,0.5054,0.8213,46.1
5,9.719417e-05,0.4459,0.8382,0.3996,0.8547,46.1
6,9.504844e-05,0.4006,0.8540,0.4973,0.8224,46.0
7,9.233621e-05,0.3562,0.8715,0.4055,0.8592,46.0
8,8.909157e-05,0.3449,0.8744,0.2671,0.8945,46.0
9,8.535534e-05,0.2877,0.8962,0.2568,0.9110,46.0
10,8.117449e-05,0.2617,0.9055,0.2221,0.9185,46.0
11,7.660160e-05,0.2654,0.9032,0.1981,0.9302,46.0
12,7.169419e-05,0.2288,0.9151,0.2405,0.9170,46.1
13,6.651395e-05,0.2175,0.9207,0.2142,0.9211,46.0
14,6.112605e-05,0.1827,0.9343,0.1945,0.9324,46.0
15,5.559822e-05,0.1638,0.9384,0.1906,0.9320,46.0
16,5.000000e-05,0.1587,0.9429,0.1528,0.9497,46.1
17,4.440178e-05,0.1357,0.9508,0.1431,0.9463,46.0
18,3.887395e-05,0.1214,0.9540,0.1710,0.9373,46.0
19,3.348605e-05,0.1057,0.9608,0.1279,0.9549,46.0
20,2.830581e-05,0.0881,0.9682,0.0952,0.9651,46.0
21,2.339840e-05,0.0758,0.9734,0.1006,0.9651,46.0
22,1.882551e-05,0.0627,0.9763,0.0968,0.9617,46.1
23,1.464466e-05,0.0519,0.9811,0.0829,0.9703,46.0
24,1.090843e-05,0.0437,0.9848,0.0876,0.9696,46.0
25,7.663790e-06,0.0350,0.9883,0.0686,0.9767,46.0
26,4.951557e-06,0.0300,0.9887,0.0738,0.9722,46.0
27,2.805833e-06,0.0261,0.9909,0.0578,0.9808,46.0
28,1.253604e-06,0.0222,0.9925,0.0573,0.9831,46.0
29,3.143895e-07,0.0220,0.9926,0.0552,0.9824,46.0
30,0.000000e+00,0.0208,0.9926,0.0552,0.9827,46.0
